itemid,creatorid,creator,title,birth_year,death_year,collection,creation_date
142384,2181,"Giovanni di Paolo (Italian, c. 1403–1482)",Predella Panel from an Altarpiece: St. Catherine of Siena Invested with the Dominican Habit,c. 1403,1482,MED - Medieval Art,1460s
173111,3989,"Charles Burchfield (American, 1893–1967)",White Violets and Coal Mine,1893,1967,DR - American 20th Century,1918
320493,7996,"John Wilson (American, 1922–2015)",Nefertiti,1922,2015,DR - American 20th Century,1973
142771,8891,"Henrik Wigström (Russian, 1862–1923)",Clock,1862,1923,Decorative Arts,1908–17
142771,55332,"House of Fabergé (Russian, 1842–1918)",Clock,1842,1918,Decorative Arts,1908–17
171283,42748,"Robert Morris (American, 1931–2018)",Untitled,1931,2018,CONTEMP - Painting,1976
173965,6568,"Edward Hopper (American, 1882–1967)",Lighthouse Village (also known as Cape Elizabeth),1882,1967,DR - American 20th Century,1929
172894,4010,"Charles Demuth (American, 1883–1935)",Amaryllis,1883,1935,DR - American 20th Century,c. 1923
142748,55332,"House of Fabergé (Russian, 1842–1918)",Miniature Chair,1842,1918,Decorative Arts,1896–1906
151540,6241,"Liu Songnian (Chinese, c. 1150-after 1225)",Listening to the Qin (Zither),1150,1230,ASIAN - Album leaf,1150–after 1225
75763,22965,"Maurice Denis (French, 1870–1943)",Procession or Pardon at Perros-Guirec,1870,1943,Mod Euro - Painting 1800-1960,1891
106465,377518,"Graz Painter (South Italian, Apulian, active c. 380–360 BCE)",Red-Figure Bell Krater (Mixing Vessel): Aphrodite and Eros,-420,-320,GR - South Italy,c. 370–360 BCE
145418,7625,"Ike Taiga (Japanese, 1723–1776)",West Lake,1723,1776,ASIAN - Hanging scroll,mid-1700s
142472,2032,"Berlinghiero (Italian, before 1242)",Virgin and Child with Saints,,1242,MED - Medieval Art,c. 1230s
108555,1946,"Nicolas Poussin (French, 1594–1665)",Nymphs and a Satyr (Amor Vincit Omnia),1594,1665,P - French 17th Century,c. 1625–1627
95265,1862,"Henri Fantin-Latour (French, 1836–1904)",Tannhäuser,1836,1904,Mod Euro - Painting 1800-1960,1886
97136,2050,"Andrea da Firenze (Italian, 1379)",The Crucifixion,,1379,MED - Medieval Art,c. 1360s
153382,1661,"Ernest Meissonier (French, 1815–1891)",On a Terrace,1815,1891,Mod Euro - Painting 1800-1960,1867
132015,17277,"Du Jin (Chinese, 1446-c. 1519)",The Poet Lin Bu Wandering in the Moonlight,1446,1524,ASIAN - Hanging scroll,late 1400s
138515,1667,"Jean-François Millet (French, 1814–1875)",First Steps,1814,1875,DR - French,c. 1859–66
141931,11617,"Albrecht Dürer (German, 1471–1528)",Arm of Eve,1471,1528,DR - German,1507
141207,11920,"Domenichino (Italian, 1581–1641)",Temperance,1581,1641,DR - Italian,1628–30
124256,1694,"Jean-Léon Gérôme (French, 1824–1904)",Lion on the Watch,1824,1904,Mod Euro - Painting 1800-1960,c. 1885
150718,10796,"Meidias Painter (Greek, Attic, active c. 420–400 BCE)",Red-Figure Squat Lekythos (Oil Vessel): Birth of Erichthonios,,,GR - Greek,c. 420–410 BCE
142294,5532,"Giovanni Battista Foggini (Italian, 1652–1725)",David Victorious over Goliath,1652,1725,Sculpture,1722
144732,2697,"Frederic Edwin Church (American, 1826–1900)",Storm in the Mountains,1826,1900,American - Painting,1847
146977,290200,"Jacques Lipchitz (French, born in Lithuania, 1891–1973)",Detachable Figure (Dancer),1891,1973,Mod Euro - Sculpture 1800-1960,1915
130392,1946,"Nicolas Poussin (French, 1594–1665)",The Return of the Holy Family to Nazareth,1594,1665,P - French 17th Century,c. 1627
100489,2556,"Gilbert Stuart (American, 1755–1828)",Baron FitzGibbon,1755,1828,American - Painting,1789
140426,5515,"Pierre Puget (French, 1620–1694)",Study for The Blessed Alessandro Sauli,1620,1694,Sculpture,1663–1668
141927,8799,"Benjamin Pyne (English, active 1693–1727)",Monteith Bowl,,,Decorative Arts,1715–16
142739,8914,"Mikhail Evlampievich Perkhin (Russian, 1860–1903)",Parrot from the Parrot on a Perch,1860,1903,Decorative Arts,1896–1903
142739,55332,"House of Fabergé (Russian, 1842–1918)",Parrot from the Parrot on a Perch,1842,1918,Decorative Arts,1896–1903
149097,5979,"Sōami (Japanese, d. 1525)",Gazing at a Waterfall,,1525,ASIAN - Hanging scroll,early 1500s
320778,320781,"Louis Hayet (French, 1864–1940)",Banks of the Oise at Dawn,1864,1940,Mod Euro - Painting 1800-1960,1888
109391,10987,"Workshop of Athens 894 (Greek, Attic, Late Geometric llb)","Geometric Neck-Handled Amphora (Storage Vessel): Prothesis (Laying out of Corpse), Mourners, Chariots",,,GR - Greek,c. 720–700 BCE
104042,8025,"Giovanni della Robbia (Italian, 1469–1529/30)",Christ and the Samaritan Woman at the Well,1469,1530,Sculpture,c. 1500–1530
144216,2400,"Bartolomé Esteban Murillo (Spanish, 1617–1682)",Madonna Nursing the Christ Child,1617,1682,DR - Spanish,c. 1670–72
130528,1759,"Edgar Degas (French, 1834–1917)",Diego Martelli,1834,1917,DR - French,1879
118663,2362,"Paolo Veronese (Italian, 1528–1588)",Various Sketches of the Madonna and Child (recto) Architectural Studies (verso) [partially visible on recto],1528,1588,DR - Italian,c. 1570
133460,1254,"Ahmad al-Dhaki al-Mawsili (Iraqi, Mosul, active early 1200s?)",Luxury Ewer Extending Good Fortune to the Owner,,,Islamic Art,1223
151517,1251,"Peter Paul Rubens (Flemish, 1577–1640)","Study for ""The Bear Hunt"" (for the Alcázar, Madrid)",1577,1640,P - Netherlandish-Flemish,c. 1639
538229,538227,"Kleophon Painter (Greek, Attic, active c. 440–410 BCE)",Red-Figure Stamnos (Mixing/Storage Vessel): Komos (Musicians and Revelers),-460,-360,GR - Greek,c. 435–425 BCE
147608,10896,"Nikosthenes (Greek, Attic, active c. 545–510 BC)",Black-Figure Nikosthenic Amphora (Storage Vessel): Dancing Youths; Sphinxes and Lions; Satyrs and Maenads,,,GR - Greek,c. 530–510 BCE
147608,379269,"Painter N, Thiasos Group (Greek, c. 530–510 BC)",Black-Figure Nikosthenic Amphora (Storage Vessel): Dancing Youths; Sphinxes and Lions; Satyrs and Maenads,-580,-500,GR - Greek,c. 530–510 BCE
130553,12130,"Johann Baptist Hagenauer (Austrian, 1732–1810)",Christ at the Column,1732,1810,Sculpture,1756
114538,13165,"Diego Rivera (Mexican, 1886–1957)",Zapata,1886,1957,PR - Lithograph,1932
114538,370463,"George C. Miller (American, 1894–1966)",Zapata,1894,1966,PR - Lithograph,1932
114538,370474,Weyhe Gallery,Zapata,,,PR - Lithograph,1932
136693,3567,"Robert Motherwell (American, 1915–1991)",Mallarme's Swan,1915,1991,DR - American 20th Century,1944
135964,22133,"Dong Qichang (Chinese, 1555–1636)",River and Mountains on a Clear Autumn Day,1555,1636,ASIAN - Handscroll,c. 1624–27
111691,2215,"Alessandro Magnasco (Italian, 1667–1749)",Interior of a Synagogue,1667,1749,P - Italian 18th Century,c. 1725–1735
135434,2160,"Pablo Picasso (Spanish, 1881–1973)",Head of a Boy,1881,1973,DR - Spanish,1905–6
117767,1198,"Giovanni Battista Piazzetta (Italian, 1682–1754)",A Flying Angel (recto); Studies of Hands Playing Instruments (verso),1682,1754,DR - Italian,1723–1727
152263,2365,"Tanzio da Varallo (Italian, c1575/80–1635)",Portrait of a Man,c1575/80,1635,P - Italian 16th & 17th Century,c. 1620
148411,3470,"Al Held (American, 1928–2005)",Jupiter IV,1928,2005,CONTEMP - Painting,1974
127561,1257,"William Blake (British, 1757–1827)",The Holy Family (Christ in the Lap of Truth),1757,1827,DR - British,c. 1805
136899,11598,"Parri Spinelli (Italian, 1387–c. 1453)",Navicella (recto),1387,1453,DR - Italian,c. 1410s
122350,2307,"Jacopo del Sellaio (Italian, c. 1441–1493)",Tarquinius Priscus Entering Rome,c. 1441,1493,MED - Medieval Art,c. 1470
164836,7975,"Charles L. Sallée (American, 1911–2006)",Bedtime,1911,2006,American - Cleveland School,1940
75551,2130,"Henri Matisse (French, 1869–1954)",Tulips,1869,1954,Mod Euro - Painting 1800-1960,1914
108878,10960,"Pig Painter (Greek, Attic, active c. 480–460 BCE)",Red-Figure Column Krater (Mixing Vessel): Komos (Revel),,,GR - Greek,c. 470–460 BCE
123024,2227,Master of Santa Chiara (Italian),Processional Cross,,,MED - Renaissance,c. 1320
130497,6306,"Bada Shanren (Chinese, 1626–1705)",Fish and Rocks,1626,1705,ASIAN - Handscroll,mid- to late 1600s
149377,4584,"Raphael (Italian, 1483–1520)","Studies of a Seated Female, Child's Head, and Three Studies of a Baby",1483,1520,DR - Italian,c. 1507–8
149791,22133,"Dong Qichang (Chinese, 1555–1636)",Mt. Qingbian,1555,1636,ASIAN - Hanging scroll,1617
142731,55332,"House of Fabergé (Russian, 1842–1918)",Flower Study of a Wild Rose,1842,1918,Decorative Arts,c. 1885–1915
142737,55332,"House of Fabergé (Russian, 1842–1918)",Flower Study of a Lowbush Cranberry or Lingonberry,1842,1918,Decorative Arts,c. 1885–1915
142740,8914,"Mikhail Evlampievich Perkhin (Russian, 1860–1903)",Perch for the Parrot on a Perch,1860,1903,Decorative Arts,1896–1903
142740,55332,"House of Fabergé (Russian, 1842–1918)",Perch for the Parrot on a Perch,1842,1918,Decorative Arts,1896–1903
142745,55332,"House of Fabergé (Russian, 1842–1918)",Sleeping Puppies on a Mat,1842,1918,Decorative Arts,c. 1895–1915
142785,8911,"Johan Viktor Aarne (Finnish, 1863–1934)",Imperial Barometer,1865,1934,Decorative Arts,1900–1901
142785,55332,"House of Fabergé (Russian, 1842–1918)",Imperial Barometer,1842,1918,Decorative Arts,1900–1901
518779,32684,"Beauford Delaney (American, 1901–1979)",Untitled,1901,1979,American - Painting,c. 1958
141603,2157,"Joan Miró (Spanish, 1893–1983)",Woman with Blond Armpit Combing Her Hair by the Light of the Stars (recto),1893,1983,DR - Spanish,1940
128808,1759,"Edgar Degas (French, 1834–1917)",Sheet of Studies and Sketches,1834,1917,DR - French,1858
136507,46405,"Laurent Girardin (French, 1478)",The Trinity,,1478,MED - Medieval Art,c. 1460
143744,10162,"Dirk Vellert (Netherlandish, 1480/85–1547)",The Judgment of Solomon,1480/85,1547,MED - Renaissance,c. 1530
106094,2258,"Sano di Pietro (Italian, 1406–1481)",Virgin and Child Adored by Saints Mary Magdalene and Nicolas of Bari;  Christ Crucified with the Virgin and Saint John the Evangelist,1406,1481,MED - Medieval Art,1400s
109507,2362,"Paolo Veronese (Italian, 1528–1588)",Portrait of Agostino Barbarigo,1528,1588,P - Italian 16th & 17th Century,after c. 1571
136668,6256,"Yan Hui (Chinese, active 1270–1310)",The Lantern Night Excursion of Zhong Kui,1245,1315,ASIAN - Handscroll,late 1200s–early 1300s
142559,2181,"Giovanni di Paolo (Italian, c. 1403–1482)",St. Catherine of Siena and the Beggar,c. 1403,1482,MED - Medieval Art,1460s
97971,14385,"Bristol Porcelain Factory (British, 1770–81)",Figures Depicting the Four Seasons,,,Decorative Arts,c. 1775
142724,5366,"Peter Carl Fabergé (Russian, 1846–1920)",Lapis Lazuli Easter Egg,1846,1920,Decorative Arts,c. 1885–90
142724,55332,"House of Fabergé (Russian, 1842–1918)",Lapis Lazuli Easter Egg,1842,1918,Decorative Arts,c. 1885–90
142725,5366,"Peter Carl Fabergé (Russian, 1846–1920)",Miniature Crown Surprise from the Lapis Lazuli Easter Egg,1846,1920,Decorative Arts,c. 1885–90
142725,55332,"House of Fabergé (Russian, 1842–1918)",Miniature Crown Surprise from the Lapis Lazuli Easter Egg,1842,1918,Decorative Arts,c. 1885–90
142726,5366,"Peter Carl Fabergé (Russian, 1846–1920)",Ruby or Pink Sapphire Surprise from the Lapis Lazuli Easter Egg,1846,1920,Decorative Arts,c. 1885–90
142726,55332,"House of Fabergé (Russian, 1842–1918)",Ruby or Pink Sapphire Surprise from the Lapis Lazuli Easter Egg,1842,1918,Decorative Arts,c. 1885–90
150359,2121,"Fernand Léger (French, 1881–1955)",The Aviator,1881,1955,Mod Euro - Painting 1800-1960,1920
146727,1706,"Antoine-Jean Gros (French, 1771–1835)",Egyptian Family (Sketch for "The Battle of the Pyramids"),1771,1835,Mod Euro - Painting 1800-1960,c. 1835
148861,1955,"Hubert Robert (French, 1733–1808)","The Colonnade of St. Peter's, Rome, during the Conclave",1733,1808,P - French 18th Century,c.1769
136822,1646,"Pierre-Paul Prud'hon (French, 1758–1823)","Study of a Nude Woman, Seated Looking to the Right (recto) Study of a Male Nude (verso)",1758,1823,DR - French,c. 1810
172781,36113,Han Unpyeong (Korean),Nine-Dragon Falls,,,Korean Art,late 1800s
124080,1313,"Thomas Gainsborough (British, 1727–1788)",Portrait of Mary Wise,1727,1788,P - British before 1800,c. 1774
129220,2644,"Hans Baldung (German, 1484/85–1545)",The Mass of Saint Gregory,1484/85,1545,MED - Renaissance,1511
129492,7758,"Master of the Geneva Latini (French, active Rouen, 1460–80)",Book of Hours (Use of Rouen),,1480,MED - Manuscript Illuminations,c. 1470
167456,58611,"Raymond Jonson (American, 1891–1982)",Rock at Sea,1891,1982,American - Painting,1920–1922
131791,2824,"Jacob Jordaens (Flemish, 1593–1678)",The Conversion of Saul with Christ and the Cross,1593,1678,DR - Flemish,c. 1645–47
128048,22920,"Hans Burgkmair (German, 1473–1531)",Equestrian Portrait of the Emperor Maximilian,1473,1531,PR - Woodcut,1508
156813,3303,"Edmund C. Tarbell (American, 1862–1938)",On Bos'n's Hill,1862,1938,American - Painting,1901
142753,8917,"Johannes Zehngraf (Russian, 1857–1908)",Imperial Framed Miniature of Tsar Nicholas II,1857,1908,Decorative Arts,1896
142753,8914,"Mikhail Evlampievich Perkhin (Russian, 1860–1903)",Imperial Framed Miniature of Tsar Nicholas II,1860,1903,Decorative Arts,1896
142753,313609,"House of Fabergé, (Russian, 1842–1918)",Imperial Framed Miniature of Tsar Nicholas II,,,Decorative Arts,1896
142292,1960,"Gabriel de Saint-Aubin (French, 1724–1780)",Costumed Dancers Performing in a Garden Tavern,1724,1780,DR - French,1756
124115,12953,"Roelant Savery (Flemish, 1576–1639)",Two Bohemian Peasants in Half-Length,1576,1639,DR - Flemish,c. 1600
140413,12755,"Joseph Matthias Götz (German, 1696–1760)",Altarpiece with Relics,1696,1760,Sculpture,c. 1735–40
140413,34768,Workshop,Altarpiece with Relics,,,Sculpture,c. 1735–40
162623,45777,"Frans Pourbus (Flemish, 1569–1622)",Portrait of King Louis XIII of France,1569,1622,P - Netherlandish-Flemish,1611
148008,10915,"Antimenes Painter (Greek, Attic, active c. 530–510 BCE)",Black-Figure Hydria (Water Vessel): Frontal Quadriga (Body); Theseus and Minotaur (Shoulder),,,GR - Greek,c. 520 BCE
108884,2562,"Nicholas Hilliard (English, c. 1547–1619)","Sir Anthony Mildmay, Knight of Apethorpe, Northamptonshire",1547,1619,P - British before 1800,c. 1590–93
144689,27841,"Giuseppe Castiglione (Italian, 1688–1766)",Portraits of the Qianlong Emperor and His Twelve Consorts,1688,1766,ASIAN - Handscroll,1736–70s
144689,64411,others (Chinese),Portraits of the Qianlong Emperor and His Twelve Consorts,,,ASIAN - Handscroll,1736–70s
155626,1836,"Camille Pissarro (French, 1830–1903)",The Lock at Pontoise,1830,1903,Mod Euro - Painting 1800-1960,1872
148855,35871,"Yi Sumun (Korean, b. c. 1404)",Landscape of the Four Seasons,c. 1400,,ASIAN - Folding screen,late 1400s
167667,30546,"Alice Neel (American, 1900–1984)",Jackie Curtis and Ritta Redd,1900,1984,CONTEMP - Painting,1970
515375,515373,"Master of the Krainburg Altar (Austrian, active c. 1485–1510)","Triptych with The Lamentation of Christ (center), St. Barbara (left wing), St. Catherine of Alexandria (right wing), The Annunciation (reverse wings)",1470,1570,MED - Gothic,c. 1500
149378,2520,"Rembrandt van Rijn (Dutch, 1606–1669)",Shah Jahan,1606,1669,DR - Dutch,c. 1656–61
140162,2136,"Georges Rouault (French, 1871–1958)","End of Autumn, No. 4",1871,1958,Mod Euro - Painting 1800-1960,1952
141641,3101,"William Michael Harnett (American, 1848–1892)","Memento Mori, ""To This Favour""",1848,1892,American - Painting,1879
142781,55332,"House of Fabergé (Russian, 1842–1918)",Miniature Table with Compass,1842,1918,Decorative Arts,c. 1890–95
142781,8914,"Mikhail Evlampievich Perkhin (Russian, 1860–1903)",Miniature Table with Compass,1860,1903,Decorative Arts,c. 1890–95
130150,1888,"François Boucher (French, 1703–1770)",Fountain with Two Tritons Blowing Conch Shells,1703,1770,DR - French,c. 1736
173963,3989,"Charles Burchfield (American, 1893–1967)",Setting Sun through the Catalpas (Late August Sunset),1893,1967,DR - American 20th Century,27-Aug-16
108501,11617,"Albrecht Dürer (German, 1471–1528)",Melencolia I,1471,1528,PR - Engraving,1514
160137,11199,"Chen Ruyan (Chinese, c. 1331–1371)",Mountains of the Immortals,1326,1371,ASIAN - Handscroll,1300–1370
160137,11204,"Ni Zan (Chinese, 1301–1374)",Mountains of the Immortals,1301,1374,ASIAN - Handscroll,1300–1370
148395,30162,"Zhou Wenju (Chinese, active 942–961)",In the Palace,,,ASIAN - Handscroll,before 1140
101355,288357,"Muhammad Ali (Persian, active 1590–1620)",A Royal Picnic on a Terrace,,1620,Indian Art,c. 1620
147516,3858,"John Chamberlain (American, 1927–2011)",Untitled,1927,2011,American - Sculpture,c. 1958–59
97797,5925,"Auguste Rodin (French, 1840–1917)",The Thinker,1840,1917,Mod Euro - Sculpture 1800-1960,1880–81
163645,14356,"Theodore Roszak (American, 1907–1981)",White and Steel Polars,1907,1981,American - Sculpture,1945
118679,2015,"Jacopo Bassano (Italian, c. 1510–1592)",Lazarus and the Rich Man,ca. 1510,1592,P - Italian 16th & 17th Century,c. 1550
122341,1921,"François Hubert Drouais (French, 1727–1775)",Portrait of the Marquise d'Aguirandes,1727,1775,P - French 18th Century,1759
124796,2329,"Giovanni Battista Tiepolo (Italian, 1696–1770)","Study for ""The Martyrdom of Saint Sebastian"" (for the Augustinian monastery at Diessen, Germany)",1696,1770,P - Italian 18th Century,1739
146469,2040,"Agnolo Bronzino (Italian, 1503–1572)",Portrait of a Woman,1503,1572,P - Italian 16th & 17th Century,c. 1550
169868,6783,"Frank Wilcox (American, 1887–1964)",The Bee Tree,1887,1964,American - Cleveland School,1930
146797,3634,"David Alfaro Siqueiros (Mexican, 1896–1974)",Zapata,1896,1974,PR - Lithograph,1931
146797,370463,"George C. Miller (American, 1894–1966)",Zapata,1894,1966,PR - Lithograph,1931
146797,370474,Weyhe Gallery,Zapata,,,PR - Lithograph,1931
142806,12615,"George Grosz (German, 1893–1959)","Student (Costume Study for Goll's ""Methusalem"") (recto) Amalie, Ida, and Set Designs (Studies for Goll's ""Methusalem"") (verso)",1893,1959,DR - German,1922
128074,1833,"Edouard Vuillard (French, 1868–1940)",Café Wepler,1868,1940,Mod Euro - Painting 1800-1960,"c. 1908–10, reworked in 1912"
152818,388593,"Edouard Lievre (French, 1829–1886)",Wall Charger Depicting Two Birds,1829,1886,Decorative Arts,1879
152818,14394,"Fernand Thesmar (French, 1843–1912)",Wall Charger Depicting Two Birds,1843,1912,Decorative Arts,1879
153366,5766,"Bernard Palissy (French, 1510–1589)",Platter,1510,1589,Decorative Arts,late 1500s
141484,6279,"Zhou Chen (Chinese, c. 1450–c. 1536)",Beggars and Street Characters,1445,1541,ASIAN - Handscroll,1516
147520,3237,"John F. Peto (American, 1854–1907)",Card Rack with a Jack of Hearts,1854,1907,American - Painting,c.1895
117768,1198,"Giovanni Battista Piazzetta (Italian, 1682–1754)",A Flying Angel (recto),1682,1754,DR - Italian,1723–1727
124733,11623,"Hans Hoffmann (German, 1545/50–1591/92)",Dead Blue Roller,1545,1592,DR - German,1583
124733,11617,"Albrecht Dürer (German, 1471–1528)",Dead Blue Roller,1471,1528,DR - German,1583
136949,6218,"Ma Lin (Chinese, c. 1185–after 1260)",Scholar Reclining and Watching Rising Clouds; Poem by Wang Wei,1180,1260,ASIAN - Album leaf,c. 1256
153604,3228,"Georgia O'Keeffe (American, 1887–1986)",It Was Yellow and Pink II,1887,1986,American - Painting,1959
97997,18307,"Derby Porcelain Factory (Chelsea-Derby Period, 1770–84)",Pair of Candelabra Depicting Allegorical Figures of Liberty and Matrimony,,,Decorative Arts,c. 1775
117714,14375,"Worcester Porcelain Factory (British, established 1751)",Punch Bowl,,,Decorative Arts,c. 1770
142735,55332,"House of Fabergé (Russian, 1842–1918)",Flower Study of Forget-Me-Nots,1842,1918,Decorative Arts,c. 1885–1915
142736,55332,"House of Fabergé (Russian, 1842–1918)",Flower Study of a Miniature Lily of the Valley,1842,1918,Decorative Arts,c. 1885–1915
161595,13387,"Hippolyte Jean Flandrin (French, 1809–1864)",René-Charles Dassy and His Brother Jean-Baptiste-Claude-Amédé Dassy,1809,1864,Mod Euro - Painting 1800-1960,1850
163448,46829,"Praxiteles (Greek, Athenian, c. 400–330 BCE)",The Cleveland Apollo: Apollo Sauroktonos (Lizard-Slayer) or Apollo the Python-Slayer,-400,-330,GR - Greek,c. 350–200 BCE
163448,314119,Follower,The Cleveland Apollo: Apollo Sauroktonos (Lizard-Slayer) or Apollo the Python-Slayer,,,GR - Greek,c. 350–200 BCE
171078,4736,"Henry Bone (British, 1755–1834)",Bacchus and Ariadne,1755,1834,Mod Euro - Painting 1800-1960,1808–11
171078,2341,"Titian (Italian, c. 1488–1576)",Bacchus and Ariadne,c. 1488,1576,Mod Euro - Painting 1800-1960,1808–11
112932,1748,"Odilon Redon (French, 1840–1916)",Beatrice,1840,1916,PR - Lithograph,1897
112932,28934,"Auguste Clot (French, 1858–1936)",Beatrice,1858,1936,PR - Lithograph,1897
112932,291938,"Ambroise Vollard (French, 1867–1939)",Beatrice,1867,1939,PR - Lithograph,1897
124084,1885,"Nicolas Lancret (French, 1690–1743)",Declaration of Love,1690,1743,P - French 18th Century,c. 1720
149149,13127,"Gilles-Lambert Godecharle (Belgian, 1750–1835)",Cupid Secretly Drawing an Arrow,1750,1835,Mod Euro - Sculpture 1800-1960,1807
149680,379285,Class K (The Toronto Class),Red-Figure Janiform Kantharos (Two-Sided Head-Shaped Drinking Cup): Satyr and African,-550,-300,GR - Greek,c. 470–460 BCE
157104,1788,"Johan Barthold Jongkind (Dutch, 1819–1891)",The Seine at Bas-Meudon,1819,1891,Mod Euro - Painting 1800-1960,1865
136295,9013,"Ren Renfa (Chinese, 1254–1328)",Three Horses and Four Grooms,1254,1328,ASIAN - Handscroll,c. 1320s
127235,1765,"Pierre-Auguste Renoir (French, 1841–1919)",Peasant Girl with Dog,1841,1919,DR - French,c. 1894
148214,2160,"Pablo Picasso (Spanish, 1881–1973)",Harlequin with Violin,1881,1973,Mod Euro - Painting 1800-1960,1918
135265,1759,"Edgar Degas (French, 1834–1917)","Stefanina Primicile Carafa, Marchioness of Cicerale and Duchess of Montejasi",1834,1917,Mod Euro - Painting 1800-1960,c. 1875
108452,3246,"Maurice Prendergast (American, 1858–1924)","May Day, Central Park",1858,1924,DR - American 19th Century,1901
110566,2324,"Bernardo Strozzi (Italian, 1581?-1644)",Allegorical Figure,1581?,1644,P - Italian 16th & 17th Century,c. 1636
143756,3029,"Georges Braque (French, 1882–1963)",Violin,1882,1963,DR - French,early 1914
311857,62312,"Jared French (American, 1905–1988)",Washing the White Blood from Daniel Boone,1905,1988,American - Painting,1939
122339,2091,"Giovanni Battista Cima da Conegliano (Italian, c. 1459–1518)",Virgin and Child with Saints and Donors,ca. 1459,1518,P - Italian 16th & 17th Century,c. 1515
122339,34768,Workshop,Virgin and Child with Saints and Donors,,,P - Italian 16th & 17th Century,c. 1515
155057,379296,"Choregos Painter (South Italian, Apulian, active c. 390–380 BCE)","Red-Figure Bell-Krater (Mixing Vessel): Bust of Dionysos and Comic Actors (A); Dionysos, Satyr, Maenad (B)",-420,-340,GR - South Italy,c. 390–380 BCE
95286,2460,"Jan Anthonisz. van Ravesteyn (Dutch, c. 1570–1657)",Portrait of a Woman,c. 1570,1657,P - Netherlandish-Dutch,1620s
380066,3179,"John Marin (American, 1870–1953)","West Point, near Small Point, Maine—Autumn",1870,1953,DR - American 20th Century,1914
128285,12039,"Wolfgang Huber (Austrian, 1490–1553)",View of a Castle (recto); Eight-Sided Cup (verso),1490,1553,DR - Austrian,1513
130051,9584,Hausbuch Master (German),Gospel Book with Evangelist Portraits,,1500,MED - Manuscript Illuminations,c. 1480
132616,11930,"Giovanna Garzoni (Italian, 1600–1670)",Still Life with Birds and Fruit,1600,1670,DR - Italian,c. 1650
147607,1896,"Jean-Siméon Chardin (French, 1699–1779)",Still Life with Herrings,1699,1779,P - French 18th Century,c. 1735
96175,10320,"Anton Peffenhauser (German, 1525–1603)",Pommel Plates from the Garniture of Rudolf II,1525,1603,MED - Arms & Armor,c. 1571
122323,386016,Fontana Family (Italian),Charger Depicting a Chariot Race,,,Decorative Arts,c. 1575
128390,2636,"Dieric Bouts (Netherlandish, 1415–1475)",Saint John the Baptist,1415,1475,MED - Medieval Art,c. 1475–85
131790,2824,"Jacob Jordaens (Flemish, 1593–1678)",The Conversion of Saul with Horseman and Banner,1593,1678,DR - Flemish,c. 1645–47
122324,386016,Fontana Family (Italian),Charger Depicting a Boar Hunt,,,Decorative Arts,c. 1575
142733,55332,"House of Fabergé (Russian, 1842–1918)",Flower Study of a Violet,1842,1918,Decorative Arts,c. 1885–1915
142741,55332,"House of Fabergé (Russian, 1842–1918)",Begging Poodle,1842,1918,Decorative Arts,c. 1895–1915
142744,55332,"House of Fabergé (Russian, 1842–1918)",Bulldog,1842,1918,Decorative Arts,c. 1895–1915
142761,8894,"Feodor Ivanovich Rückert (Russian, 1840–1917)",Pill or Snuff Box,1840,1917,Decorative Arts,1906–16
142761,55332,"House of Fabergé (Russian, 1842–1918)",Pill or Snuff Box,1842,1918,Decorative Arts,1906–16
170877,63557,"Muhammad Rizavi Hindi (Indian, active mid-1700s)",Posthumous portrait of the Mughal emperor Muhammad Shah (reigned 1719–1748) holding a falcon (recto); Calligraphy (verso),,1799,Indian Art - Mughal,1764
170877,64825,"Mahmud ibn Ishaq al-Shahabi (Persian, active mid- to late 1500s)",Posthumous portrait of the Mughal emperor Muhammad Shah (reigned 1719–1748) holding a falcon (recto); Calligraphy (verso),,,Indian Art - Mughal,1764
86111,11294,"Sesshū Tōyō (Japanese, 1420–1506)","Returning Sails off a Distant Shore, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s to 1550s
86110,11294,"Sesshū Tōyō (Japanese, 1420–1506)","Sunset Glow over a Fishing Village, from Eight Views of Xiao-Xiang",1420,1506,ASIAN - Hanging scroll,1460s–1550s
130646,38995,Saint-Porchaire (French),Ewer,,,Decorative Arts,c. 1540–67
174043,6490,"John George Brown (American, 1831–1913)",Boat Builder,1831,1913,American - Painting,c. 1904
144896,690,"Henry Moore (British, 1898–1986)",Three-Way Piece No. 2: Archer,1898,1986,CONTEMP - Sculpture,1964
131673,23570,"Hua Yan (Chinese, 1682–c. 1765)",Conversation in Autumn,1682,1756,ASIAN - Hanging scroll,1732
118664,2362,"Paolo Veronese (Italian, 1528–1588)",Various Sketches of the Madonna and Child (recto),1528,1588,DR - Italian,c. 1580
128874,1759,"Edgar Degas (French, 1834–1917)",Victoria Dubourg,1834,1917,DR - French,c. 1866
105933,7745,Maître François (French),Single Miniature Excised from Boccaccio's Des Cleres et nobles femmes: Queen Medusa and Her Court,,,MED - Manuscript Illuminations,c. 1470
134236,1796,"Edouard Manet (French, 1832–1883)",Claire Campbell,1832,1883,DR - French,1876
160775,343,"William E. Dassonville (American, 1879–1957)",The Grand Canyon,1879,1957,PH - American 1900-1950,c. 1924
136649,3846,"Alexander Calder (American, 1898–1976)",White Loops and Red Spiral on Black Stabile,1898,1976,American - Sculpture,1959
